,period,value,time,start_at
2196,7,0.95714688,1713150000.0,2024-04-15 03:00:00+00:00
2197,7,0.95741031,1713153600.0,2024-04-15 04:00:00+00:00
2198,7,0.95732391,1713157200.0,2024-04-15 05:00:00+00:00
2199,7,0.95844075,1713160800.0,2024-04-15 06:00:00+00:00
2200,7,0.97388489,1713164400.0,2024-04-15 07:00:00+00:00
2201,7,0.93881623,1713168000.0,2024-04-15 08:00:00+00:00
2202,7,0.93790150,1713171600.0,2024-04-15 09:00:00+00:00
2203,7,0.93800228,1713175200.0,2024-04-15 10:00:00+00:00
2204,7,0.93764457,1713178800.0,2024-04-15 11:00:00+00:00
2205,7,0.93954805,1713182400.0,2024-04-15 12:00:00+00:00
2206,7,0.93926168,1713186000.0,2024-04-15 13:00:00+00:00
2207,7,0.94175671,1713189600.0,2024-04-15 14:00:00+00:00
2208,7,0.95240228,1713193200.0,2024-04-15 15:00:00+00:00
2209,7,0.95407562,1713196800.0,2024-04-15 16:00:00+00:00
2210,7,0.95539246,1713200400.0,2024-04-15 17:00:00+00:00
2211,7,0.95486116,1713204000.0,2024-04-15 18:00:00+00:00
2212,7,0.96343183,1713207600.0,2024-04-15 19:00:00+00:00
2213,7,0.96973685,1713211200.0,2024-04-15 20:00:00+00:00
2214,7,0.97035711,1713214800.0,2024-04-15 21:00:00+00:00
2215,7,0.96954657,1713218400.0,2024-04-15 22:00:00+00:00
2216,7,0.96998465,1713222000.0,2024-04-15 23:00:00+00:00
2217,7,0.97121779,1713225600.0,2024-04-16 00:00:00+00:00
2218,7,0.97176656,1713229200.0,2024-04-16 01:00:00+00:00
2219,7,0.97003440,1713232800.0,2024-04-16 02:00:00+00:00
2220,7,0.97080537,1713236400.0,2024-04-16 03:00:00+00:00
2221,7,0.97165338,1713240000.0,2024-04-16 04:00:00+00:00
2222,7,0.97689073,1713243600.0,2024-04-16 05:00:00+00:00
2223,7,0.97474571,1713247200.0,2024-04-16 06:00:00+00:00
2224,7,0.97881261,1713250800.0,2024-04-16 07:00:00+00:00
2225,7,0.98075394,1713254400.0,2024-04-16 08:00:00+00:00
2226,7,0.98176723,1713258000.0,2024-04-16 09:00:00+00:00
2227,7,0.98177949,1713261600.0,2024-04-16 10:00:00+00:00
2228,7,0.98349416,1713265200.0,2024-04-16 11:00:00+00:00
2229,7,0.98902954,1713268800.0,2024-04-16 12:00:00+00:00
2230,7,0.98734024,1713272400.0,2024-04-16 13:00:00+00:00
2231,7,0.97765086,1713276000.0,2024-04-16 14:00:00+00:00
2232,7,0.97891634,1713279600.0,2024-04-16 15:00:00+00:00
2233,7,0.97968632,1713283200.0,2024-04-16 16:00:00+00:00
2234,7,0.98696946,1713286800.0,2024-04-16 17:00:00+00:00
2235,7,0.98740049,1713290400.0,2024-04-16 18:00:00+00:00
2236,7,0.98996265,1713294000.0,2024-04-16 19:00:00+00:00
